id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Beat Drop,MC Flow,hip-hop,excited,0.95,100,0.85,0.90,0.05
12,Old Dirt Road,Dusty Boots,country,nostalgic,0.60,90,0.70,0.60,0.80
13,Moonlight Sonata,Ludwig Echo,classical,peaceful,0.20,60,0.50,0.30,0.95
14,Neon Pulse,Synth Master,electronic,euphoric,0.88,128,0.90,0.85,0.02
15,Island Vibes,Rasta Wave,reggae,upbeat,0.70,95,0.80,0.75,0.40
16,Blue Notes,Delta King,blues,melancholic,0.40,70,0.30,0.50,0.90
17,Thunder Strike,Iron Rage,metal,raging,0.98,160,0.20,0.40,0.01
18,Whispering Winds,Willow Tree,folk,romantic,0.45,85,0.75,0.55,0.85
19,Soulful Nights,Velvet Voice,R&B,dreamy,0.55,105,0.65,0.70,0.30
20,Groove Fever,Funky Lights,disco,euphoric,0.90,120,0.88,0.95,0.10
21,Not Like Us,Kendrick Lamar,rap,intense,0.88,98,0.55,0.82,0.04
22,Meet the Grahams,Kendrick Lamar,rap,hateful,0.72,85,0.22,0.68,0.06
23,6:16 in LA,Kendrick Lamar,rap,intense,0.76,92,0.30,0.75,0.05
24,Euphoria,Kendrick Lamar,rap,intense,0.80,88,0.28,0.65,0.07
25,Yoru ga Akeru,Given,J-pop,melancholy,0.58,112,0.45,0.60,0.82
26,Fuyu no Hanashi,Given,J-pop,romantic,0.87,148,0.72,0.78,0.80
